C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
"right rear mammary gland, gland cistern"	2														1	1						
crhr2+/+	2														1	1						
"right front mammary gland, teat cistern"	2														1	1						
"right front mammary gland, gland cistern"	2														1	1						
ent	2														1	1						
undifferentiated npc	2														1	1						
brain cortex	2														1	1						
human osteosarcoma os 16a	2														1	1						
axillary shoots	2														1	1						
mammary tumor without jam a	2														1	1						
"left rear mammary gland, lobuloalveolar"	2														1	1						
human osteosarcoma os 10b	2														1	1						
renal tumor	2														1	1						
ejaculated spermatozoa	2														1	1						
thp 1	2														1	1						
intestine large	2														1	1						
brain disc complexes	2														1	1						
"left rear mammary gland, teat cistern"	2														1	1						
mammary gland  lact	2														1	1						
organotypic hippocampal slice cultures	2														1	1						
semi circular canal duct(sccd) epithelia	2														1	1						
spleen metastasis	2														1	1						
pooled normal brain tissue	2														1	1						
normal lung parenchyma	2														1	1						
facs sorted cells from mediastinal lymph nodes	2														1	1						
lung squamous beas 2b sox2 cells	2														1	1						
prostate metastasis	2														1	1						
mature sperm	2														1	1						
18dpp mouse testes	2														1	1						
occipital lobe	2														1	1						
"right rear mammary gland, lobuloalveolar"	2														1	1						
whole l2 hermaphrodite	2														1	1						
semi circular canal duct epithelium   dex treated	2														1	1						
clinically negative of npc	2														1	1						
male body	2														1	1						
peripheral blood individual 1	2														1	1						
peripheral blood individual 2	2														1	1						
peripheral blood individual 3	2														1	1						
whole adult hermaphrodite	2														1	1						
control heart	2														1	1						
root apical papilla	2														1	1						
normal liver tissues from patients with liver hemangioma	2														1	1						
human osteosarcoma os 15	2														1	1						
mucosa (stomach)	2														1	1						
adipose brown	2														1	1						
human osteosarcoma os 12	2														1	1						
human osteosarcoma os 13	2														1	1						
hypocotyl	2														1	1						
"colon, colorectal adenocarcinoma"	2														1	1						
fetal cortex	2														1	1						
"left rear mammary gland, gland cistern"	2														1	1						
human osteosarcoma os 1	2														1	1						
human osteosarcoma os 4	2														1	1						
human osteosarcoma os 6	2														1	1						
human osteosarcoma os 8	2														1	1						
"blood, whole"	2														1	1						
axillary buds	2														1	1						
intestine small	2														1	1						
human brain (g001)	2														1	1						
human brain (g002)	2														1	1						
merkel cell carcinoma metastasis tumor	2														1	1						
melanocytes	2														1	1						
"fruits, 170 daf (days after flowering)"	2														1	1						
moblized leukapheresis	2														1	1						
lung squamous beas 2b control cells	2														1	1						
primary foreskin fibroblasts pd38	2														1	1						
human periodontal ligament cells	2														1	1						
primary foreskin fibroblasts pd64	2														1	1						
crhr2 /	2														1	1						
primary foreskin fibroblasts pd80	2														1	1						
"mix of heart, liver, spleen, kidney, brain"	2														1	1						
root tissue	2														1	1						
dorsal skin from wildtype	2														1	1						
"left rear mammary gland, furstenburg's rosette"	2														1	1						
infected barley leaves	2														1	1						
the last formed two somites	2														1	1						
fetal kidney	2														1	1						
"right front mammary gland, furstenburg's rosette"	2														1	1						
large trigeminal ganglion	2														1	1						
small trigeminal ganglion	2														1	1						
trigeminal ganglion	2														1	1						
whole l4 hermaphrodite	2														1	1						
bursa of fabricius	2														1	1						
ips derived retinal pigmented epithelium	2														1	1						
mammary gland non lactating	2														1	1						
rice panicle (5cm 8cm)	2														1	1						
center tailbud	2														1	1						
anterior psm	2														1	1						
18.5dpc embryo testes	2														1	1						
center psm	2														1	1						
fetus	2														1	1						
preovulatory follicles	2														1	1						
retinal pigment epithelium	2														1	1						
ascitic fluids	2														1	1						
shoot apical meristem region and developing leaf primordia	2														1	1						
adipose white	2														1	1						
kidney 2	2														1	1						
kidney 1	2														1	1						
ebv transformed b lymphcytes gm08714	2														1	1						
osteoblast	2														1	1						
oviduct	2														1	1						
whole oocytes	2														1	1						
rna extracted from stem and leaves	2														1	1						
isolated cortices	2														1	1						
third developing leaflet	2														1	1						
shoot apex	2														1	1						
merkel cell carcinoma recurrence tumor	2														1	1						
cop1 null embryos	2														1	1						
splenocytes	2														1	1						
porcine proximal jejunum	2														1	1						
"apilocytic astrocytoma, juvenile pilocytic astrocytoma, or cystic cerebellar astrocytoma"	2														1	1						
dorsal skin from deltanp63alpha overexpressing animals	2														1	1						
porcine ascending colon	2														1	1						
reference control	2														1	1						
larynx	2														1	1						
primary megakaryocytes	2														1	1						
25dpp mouse testes	2														1	1						
base stems from 15cm tall	2														1	1						
whole l1 hermaphrodite	2														1	1						
liver tumor adjacent	2														1	1						
ebv transformed b lymphcytes line gm12089	2														1	1						
whole l3 hermaphrodite	2														1	1						
"unknown, liver"	2														1	1						
blastoyst	2														1	1						
medullary thyroid carcinoma	2														1	1						
thymus emigrants	2														1	1						
"brain,heart,lung,liver,stomach,intestine,colon,kidney,muscle,spleen,skin"	2														1	1						
colorectal mucosa (same patient as ch1)	2														1	1						
porcine distal jejunum	2														1	1						
failing heart	2														1	1						
es derived retinal pigmented epithelium	2														1	1						
"small intestine, si 1"	2														1	1						
liver 1	2														1	1						
"small intestine, si 2"	2														1	1						
"small intestine, si 3"	2														1	1						
liver 2	2														1	1						
porcine transverse colon	2														1	1						
perigonadal white adipose tissue	2														1	1						
lymph node 2	2														1	1						
lymph node 1	2														1	1						
cancer tissue from patient 221334 1	1														1	1						
posterior part of the primitive streak	1														1	1						
adjacent normal tissue from patient 204932 2	1														1	1						
adjacent normal tissue from patient 204932 1	1														1	1						
cancer tissue from patient 219710 1	1														1	1						
semi circular canal duct epithelium	1														1	1						
cancer tissue from patient 209497 2	1														1	1						
adjacent normal tissue from patient 214634 1	1														1	1						
cancer tissue from patient 209497 1	1														1	1						
lung tissue from normal person 205381 1	1														1	1						
gastric tumor tissue 2000639	1														1	1						
lung tissue from normal person 205381 2	1														1	1						
cancer tissue from patient 211038 2	1														1	1						
cancer tissue from patient 211038 1	1														1	1						
gastric tumor tissue 2000169	1														1	1						
cancer tissue from patient 218047 1	1														1	1						
periodontal ligament cells	1														1	1						
adjacent normal tissue from patient 205649 1	1														1	1						
adjacent normal tissue from patient 205649 2	1														1	1						
small bowel juvenile polyps	1														1	1						
malt lymphoma ll39 t(11;18) positive tumor	1														1	1						
adjacent normal tissue from patient 211038 1	1														1	1						
adjacent normal tissue from patient 213721 1	1														1	1						
adjacent normal tissue from patient 211038 2	1														1	1						
liver from postprandial rats	1														1	1						
gastric tumor tissue 2001271	1														1	1						
gastric tumor tissue 2001272	1														1	1						
cancer tissue from patient 204932 2	1														1	1						
cancer tissue from patient 204932 1	1														1	1						
cancer tissue from patient 211961 1	1														1	1						
panicle at flowering stage	1														1	1						
cancer tissue from patient 207012 2	1														1	1						
intraepithelial lobular carcinoma (ilc)	1														1	1						
hepg2 cell line	1														1	1						
cancer tissue from patient 207012 1	1														1	1						
adjacent normal tissue from patient 220432 1	1														1	1						
gastric tumor tissue 2000137	1														1	1						
gastric tumor tissue 99069	1														1	1						
adjacent normal tissue from patient 214518 1	1														1	1						
cancer tissue from patient 208944 2	1														1	1						
cancer tissue from patient 208944 1	1														1	1						
adjacent normal tissue from patient 224429 1	1														1	1						
adjacent normal tissue from patient 207012 2	1														1	1						
adjacent normal tissue from patient 207012 1	1														1	1						
gastric tumor tissue 99046	1														1	1						
cancer tissue from patient 214633 1	1														1	1						
cancer tissue from patient 206169 2	1														1	1						
cancer tissue from patient 206169 1	1														1	1						
whole flower	1														1	1						
adjacent normal tissue from patient 206090 1	1														1	1						
adjacent normal tissue from patient 206090 2	1														1	1						
gastric tumor tissue 2000617	1														1	1						
cancer tissue from patient 211257 2	1														1	1						
cancer tissue from patient 211257 1	1														1	1						
"pool of intestinal porcine duodenum, proximal and distal jejunum, ileum, ascending and transverse colon"	1														1	1						
none	1														1	1						
adjacent normal tissue from patient 211043 2	1														1	1						
gastric tumor tissue 54119380	1														1	1						
gastric tumor tissue 99098	1														1	1						
gastric tumor tissue 980063	1														1	1						
adjacent normal tissue from patient 211043 1	1														1	1						
mucosa polyp	1														1	1						
right side flanking tailbud	1														1	1						
blood of a donor pool of 5 healthy males	1														1	1						
adjacent normal tissue from patient 223938 1	1														1	1						
malt lymphoma ll79 t(11;18) positive tumor	1														1	1						
adjacent normal tissue from patient 209727 3	1														1	1						
adjacent normal tissue from patient 209727 2	1														1	1						
adjacent normal tissue from patient 209727 1	1														1	1						
gastric tumor tissue 980040	1														1	1						
filamentous sporophyte	1														1	1						
normal adult breast	1														1	1						
gastric tumor tissue 980048	1														1	1						
cancer tissue from patient 209727 1	1														1	1						
cancer tissue from patient 209727 2	1														1	1						
cancer tissue from patient 216989 1	1														1	1						
gastric tumor tissue 99071	1														1	1						
cancer tissue from patient 202684 1	1														1	1						
gastric tumor tissue 77482608	1														1	1						
cancer tissue from patient 202684 2	1														1	1						
cancer tissue from patient 212196 1	1														1	1						
"brain, thoracic ganglion chain and the ventral nerve cord"	1														1	1						
gastric tumor tissue 980024	1														1	1						
gastric tumor tissue 980021	1														1	1						
cancer tissue from patient 206084 1	1														1	1						
cancer tissue from patient 206084 2	1														1	1						
malt lymphoma ll49 t(11;18) negative tumor	1														1	1						
cancer tissue from patient 219796 1	1														1	1						
malt lymphoma ll38 t(11;18) negative tumor	1														1	1						
gastric tumor tissue 980028	1														1	1						
gastric tumor tissue 980417	1														1	1						
gastric tumor tissue 980001	1														1	1						
adjacent normal tissue from patient 223168 1	1														1	1						
gm06990 cell line	1														1	1						
cancer tissue from patient 213382 1	1														1	1						
cd4+ t cell	1														1	1						
cancer tissue from patient 207528 1	1														1	1						
cancer tissue from patient 207528 2	1														1	1						
cancer tissue from patient 203903 2	1														1	1						
cancer tissue from patient 203903 1	1														1	1						
cd8+ t cell	1														1	1						
lung tissue from normal person 208908 1	1														1	1						
6 weeks  old testes	1														1	1						
lung tissue from normal person 208908 2	1														1	1						
adjacent normal tissue from patient 219796 1	1														1	1						
gastric tumor tissue 990203	1														1	1						
gastric tumor tissue 990205	1														1	1						
cancer tissue from patient 214634 1	1														1	1						
cancer tissue from patient 210971 1	1														1	1						
adjacent normal tissue from patient 223430 1	1														1	1						
cancer tissue from patient 210971 2	1														1	1						
retromediastinal  metastasis	1														1	1						
gastric tumor tissue 990221	1														1	1						
skin metastasis	1														1	1						
malt lymphoma ll65 t(11;18) negative tumor	1														1	1						
gliosarcoma tumor	1														1	1						
gastric tumor tissue 990231	1														1	1						
adjacent normal tissue from patient 207462 2	1														1	1						
adjacent normal tissue from patient 207462 1	1														1	1						
cancer tissue from patient 209118 2	1														1	1						
cancer tissue from patient 209118 1	1														1	1						
adjacent normal tissue from patient 219706 1	1														1	1						
adjacent normal tissue from patient 200746 2	1														1	1						
adjacent normal tissue from patient 200746 1	1														1	1						
adjacent normal tissue from patient 210618 1	1														1	1						
adjacent normal tissue from patient 210618 2	1														1	1						
gastric tumor tissue 90929219	1														1	1						
red region of liver tissues	1														1	1						
cancer tissue from patient 213721 1	1														1	1						
cancer tissue from patient 210618 1	1														1	1						
adjacent normal tissue from patient 224635 2	1														1	1						
cancer tissue from patient 210618 2	1														1	1						
adjacent normal tissue from patient 224635 1	1														1	1						
cancer tissue from patient 209762 1	1														1	1						
adjacent normal tissue from patient 211257 1	1														1	1						
adjacent normal tissue from patient 211257 2	1														1	1						
lung tissue from normal person 210423 1	1														1	1						
lung tissue from normal person 210423 2	1														1	1						
cancer tissue from patient 209762 2	1														1	1						
adrenal metastasis	1														1	1						
gastric tumor tissue 20020361	1														1	1						
left side flanking tailbud	1														1	1						
gastric tumor tissue 990275	1														1	1						
cancer tissue from patient 215459 1	1														1	1						
gastric tumor tissue 20020756	1														1	1						
gastric tumor tissue 990286	1														1	1						
cancer tissue from patient 205381 1	1														1	1						
cancer tissue from patient 205381 2	1														1	1						
egg	1														1	1						
prostate cancer tumor	1														1	1						
cancer tissue from patient 201983 2	1														1	1						
fedal brain	1														1	1						
cancer tissue from patient 201983 1	1														1	1						
adjacent normal tissue from patient 200771 2	1														1	1						
adjacent normal tissue from patient 216989 1	1														1	1						
adjacent normal tissue from patient 200771 1	1														1	1						
gastric tumor tissue 980447	1														1	1						
gastric tumor tissue 20020700	1														1	1						
gastric tumor tissue 980453	1														1	1						
mediastinal lymph node metastasis	1														1	1						
white region of liver tissues	1														1	1						
cancer tissue from patient 223936 1	1														1	1						
gastric tumor tissue 980444	1														1	1						
merkel cell carcinoma skin metastasis (regional) tumor	1														1	1						
gastric tumor tissue 2000525	1														1	1						
"root, shoot, leaf, young spike"	1														1	1						
cancer tissue from patient 223938 1	1														1	1						
cancer tissue from patient 207370 1	1														1	1						
cancer tissue from patient 207370 2	1														1	1						
leaf base	1														1	1						
blood of a patient with ch	1														1	1						
genomic dna  called andquot;refrerence 103andquot; affymetrix	1														1	1						
gastric tumor tissue 20021007	1														1	1						
total rna from each of 8 tissues was diluted and pooled to a mix solution	1														1	1						
cancer tissue from patient 223858 1	1														1	1						
gastric tumor tissue 20021013	1														1	1						
gastric tumor tissue 42761681	1														1	1						
heart forming regions	1														1	1						
adjacent normal tissue from patient 223171 1	1														1	1						
adjacent normal tissue from patient 223171 2	1														1	1						
lateral epiblast (e3 region) from control embryos	1														1	1						
adjacent normal tissue from patient 220749 1	1														1	1						
liver tissue of six healthy liver donors	1														1	1						
adjacent normal tissue from patient 204691 2	1														1	1						
adjacent normal tissue from patient 204691 1	1														1	1						
"anterior kidney, spleen, liver, and muscle"	1														1	1						
gastric tumor tissue 73499299	1														1	1						
gastric tumor tissue 2000563	1														1	1						
gastric tumor tissue 20020148	1														1	1						
cancer tissue from patient 204435 2	1														1	1						
cancer tissue from patient 204435 1	1														1	1						
gastric tumor tissue 20021048	1														1	1						
adjacent normal tissue from patient 205882 1	1														1	1						
adjacent normal tissue from patient 205882 2	1														1	1						
gastric tumor tissue 20020164	1														1	1						
cancer tissue from patient 222986 1	1														1	1						
ap1 flower domain	1														1	1						
cancer tissue from patient 224069 1	1														1	1						
cancer tissue from patient 212075 1	1														1	1						
gastric tumor tissue 20020159	1														1	1						
6 weeks old mouse testes	1														1	1						
gastric tumor tissue 20020135	1														1	1						
adjacent normal tissue from patient 218172 1	1														1	1						
normal placenta	1														1	1						
cancer tissue from patient 223888 1	1														1	1						
adjacent normal tissue from patient 213382 1	1														1	1						
normal liver	1														1	1						
pleural lymph node metastasis	1														1	1						
adjacent normal tissue from patient 208464 2	1														1	1						
adjacent normal tissue from patient 208464 1	1														1	1						
cancer tissue from patient 218499 1	1														1	1						
cancer tissue from patient 203327 1	1														1	1						
cancer tissue from patient 203327 2	1														1	1						
adjacent normal tissue from patient 210971 1	1														1	1						
adjacent normal tissue from patient 210971 2	1														1	1						
iliac lymph node metastasis	1														1	1						
cancer tissue from patient 221756 1	1														1	1						
gastric tumor tissue 20021031	1														1	1						
adjacent normal tissue from patient 209772 2	1														1	1						
adjacent normal tissue from patient 209772 1	1														1	1						
cancer tissue from patient 218502 1	1														1	1						
adjacent normal tissue from patient 209173 1	1														1	1						
adjacent normal tissue from patient 209173 2	1														1	1						
cancer tissue from patient 210644 2	1														1	1						
cancer tissue from patient 210644 1	1														1	1						
whole silkworm body	1														1	1						
bone marrow from femurs and tibiae	1														1	1						
cancer tissue from patient 209772 2	1														1	1						
facial tumor (mammary metastasis)	1														1	1						
cancer tissue from patient 209772 1	1														1	1						
gastric tumor tissue 73499279	1														1	1						
adjacent normal tissue from patient 215165 1	1														1	1						
adjacent normal tissue from patient 215165 2	1														1	1						
adjacent normal tissue from patient 221550 1	1														1	1						
"muscle from location of injection, just below the dorsal fin"	1														1	1						
cancer tissue from patient 203892 2	1														1	1						
cancer tissue from patient 203892 1	1														1	1						
cancer tissue from patient 214580 1	1														1	1						
cancer tissue from patient 206090 1	1														1	1						
cancer tissue from patient 206090 2	1														1	1						
cancer tissue from patient 211043 2	1														1	1						
cancer tissue from patient 211043 1	1														1	1						
adjacent normal tissue from patient 223941 1	1														1	1						
"flower bud, half open flower, open flower, development fruit tissues in different sizes (0.3, 0.5, 0.8, 1, and 1.5 cm in diameter)"	1														1	1						
whole organism of parental lines	1														1	1						
adjacent normal tissue from patient 214519 1	1														1	1						
cancer tissue from patient 208464 2	1														1	1						
cancer tissue from patient 208464 1	1														1	1						
adjacent normal tissue from patient 205477 1	1														1	1						
blood of a patient with ch (discordant twin to 1302)	1														1	1						
cancer tissue from patient 206679 1	1														1	1						
cancer tissue from patient 223433 1	1														1	1						
cancer tissue from patient 206679 2	1														1	1						
cancer tissue from patient 210017 2	1														1	1						
cancer tissue from patient 210017 1	1														1	1						
cancer tissue from patient 218046 1	1														1	1						
adjacent normal tissue from patient 207460 1	1														1	1						
gastric tumor tissue 2000510	1														1	1						
adjacent normal tissue from patient 207460 2	1														1	1						
cancer tissue from patient 212197 1	1														1	1						
adjacent normal tissue from patient 208944 2	1														1	1						
adjacent normal tissue from patient 208944 1	1														1	1						
gastric tumor tissue 980125	1														1	1						
adjacent normal tissue from patient 202292 2	1														1	1						
adjacent normal tissue from patient 202687 2	1														1	1						
adjacent normal tissue from patient 202292 1	1														1	1						
adjacent normal tissue from patient 202687 1	1														1	1						
cancer tissue from patient 207462 3	1														1	1						
cancer tissue from patient 210429 2	1														1	1						
gastric tumor tissue 980138	1														1	1						
cancer tissue from patient 210429 1	1														1	1						
adjacent normal tissue from patient 209118 2	1														1	1						
adjacent normal tissue from patient 221810 1	1														1	1						
root at seedling stage of 14 days	1														1	1						
bladder tissue from patient 2	1														1	1						
bladder tissue from patient 1	1														1	1						
adjacent normal tissue from patient 202578 2	1														1	1						
adjacent normal tissue from patient 202578 1	1														1	1						
adjacent normal tissue from patient 205477 2	1														1	1						
malt lymphoma ll96 t(11;18) positive tumor	1														1	1						
gastric tumor tissue 980151	1														1	1						
adjacent normal tissue from patient 207680 1	1														1	1						
adjacent normal tissue from patient 217332 1	1														1	1						
adjacent normal tissue from patient 209762 2	1														1	1						
adjacent normal tissue from patient 209762 1	1														1	1						
adjacent normal tissue from patient 207680 2	1														1	1						
gastric tumor tissue 80903789	1														1	1						
adjacent normal tissue from patient 223433 1	1														1	1						
shoot at seedling stage of 14 days	1														1	1						
lung tissue from normal person 207528 2	1														1	1						
lung tissue from normal person 207528 1	1														1	1						
adjacent normal tissue from patient 209118 1	1														1	1						
cancer tissue from patient 205353 2	1														1	1						
cancer tissue from patient 205353 1	1														1	1						
adjacent normal tissue from patient 215274 1	1														1	1						
blood of the healthy father of ch patient 1829	1														1	1						
adjacent normal tissue from patient 205353 2	1														1	1						
adjacent normal tissue from patient 205353 1	1														1	1						
multiple normal spleens	1														1	1						
ureter tissue from patient 1	1														1	1						
ureter tissue from patient 2	1														1	1						
adjacent normal tissue from patient 212075 1	1														1	1						
cancer tissue from patient 205882 1	1														1	1						
cancer tissue from patient 205882 2	1														1	1						
mantle cell lymphoma	1														1	1						
cancer tissue from patient 209216 2	1														1	1						
cancer tissue from patient 209216 1	1														1	1						
cancer tissue from patient 221150 1	1														1	1						
young inflorescences (4~6cm)	1														1	1						
xenograft tumor derived from a primary nktl lymphoma	1														1	1						
thalamus	1														1	1						
adjacent normal tissue from patient 224157 1	1														1	1						
tertbj cell line	1														1	1						
cancer tissue from patient 215167 1	1														1	1						
"right front mammary gland, lobuloalveolar"	1														1	1						
adjacent normal tissue from patient 203327 1	1														1	1						
adjacent normal tissue from patient 203327 2	1														1	1						
flag leave of oryza sativa l. ssp. indica cv. 9311	1														1	1						
rna extracted from inflorescences	1														1	1						
malt lymphoma ll5 t(11;18) negative tumor	1														1	1						
cancer tissue from patient 209173 2	1														1	1						
cancer tissue from patient 209173 1	1														1	1						
adjacent normal tissue from patient 203903 2	1														1	1						
adjacent normal tissue from patient 203903 1	1														1	1						
normal pituitary	1														1	1						
retinal	1														1	1						
adjacent normal tissue from patient 219773 1	1														1	1						
adjacent normal tissue from patient 203892 2	1														1	1						
adjacent normal tissue from patient 203892 1	1														1	1						
cancer tissue from patient 207462 1	1														1	1						
cancer tissue from patient 207462 2	1														1	1						
adjacent normal tissue from patient 219710 1	1														1	1						
adjacent normal tissue from patient 206835 2	1														1	1						
lung tissue from normal person 210416 1	1														1	1						
adjacent normal tissue from patient 206835 1	1														1	1						
lung tissue from normal person 210416 2	1														1	1						
adjacent normal tissue from patient 212196 1	1														1	1						
gastric tumor tissue 2001319	1														1	1						
blood of the healthy father of ch patient 25b	1														1	1						
cancer tissue from patient 208908 2	1														1	1						
cancer tissue from patient 208908 1	1														1	1						
gastric tumor tissue 2001320	1														1	1						
cancer tissue from patient 211486 1	1														1	1						
cancer tissue from patient 211486 2	1														1	1						
adjacent normal tissue from patient 215459 1	1														1	1						
cancer tissue from patient 202192 1	1														1	1						
cancer tissue from patient 202192 2	1														1	1						
gastric tumor tissue 990129	1														1	1						
gastric tumor tissue 20020011	1														1	1						
cancer tissue from patient 209673 1	1														1	1						
cancer tissue from patient 209673 2	1														1	1						
adjacent normal tissue from patient 223888 1	1														1	1						
gastric tumor tissue 20020945	1														1	1						
liver from fasted rats	1														1	1						
gastric tumor tissue 37357120	1														1	1						
cancer tissue from patient 214295 1	1														1	1						
adjacent normal tissue from patient 221492 1	1														1	1						
gastric tumor tissue 20020032	1														1	1						
adjacent normal tissue from patient 218047 1	1														1	1						
fetal thymus	1														1	1						
adjacent normal tissue from patient 225727 1	1														1	1						
adjacent normal tissue from patient 203707 2	1														1	1						
adjacent normal tissue from patient 203707 1	1														1	1						
adjacent normal tissue from patient 205876 1	1														1	1						
adjacent normal tissue from patient 205876 2	1														1	1						
"root, shoot, leaf"	1														1	1						
adjacent normal tissue from patient 207359 1	1														1	1						
adjacent normal tissue from patient 207359 2	1														1	1						
gastric tumor tissue 990170	1														1	1						
gastric tumor tissue 990172	1														1	1						
malt lymphoma ll29 t(11;18) positive tumor	1														1	1						
olfactory rosettes.	1														1	1						
malt lymphoma ll18 t(11;18) negative tumor	1														1	1						
"total aerial, bolting and flowering"	1														1	1						
gastric tumor tissue 20020065	1														1	1						
unspecified lymph node metastasis	1														1	1						
cancer tissue from patient 207474 1	1														1	1						
gastric tumor tissue 20020070	1														1	1						
cancer tissue from patient 215823 1	1														1	1						
adjacent normal tissue from patient 224581 1	1														1	1						
cancer tissue from patient 207474 2	1														1	1						
adjacent normal tissue from patient 206679 1	1														1	1						
adjacent normal tissue from patient 206679 2	1														1	1						
gastric tumor tissue 990187	1														1	1						
"pooled from spleen, kidney, and tail"	1														1	1						
cancer tissue from patient 217332 1	1														1	1						
lung tissue from normal person 209673 1	1														1	1						
olfactory epithelium	1														1	1						
lung tissue from normal person 209673 2	1														1	1						
cancer tissue from patient 202578 2	1														1	1						
cancer tissue from patient 202578 1	1														1	1						
anterior silk glands	1														1	1						
gastric tumor tissue 37175329	1														1	1						
gastric tumor tissue 2001094	1														1	1						
postnatal olfactory bulb	1														1	1						
gastric tumor tissue 2001098	1														1	1						
adjacent normal tissue from patient 224257 1	1														1	1						
panicle of oryza sativa l. ssp. indica cv. 9311	1														1	1						
adjacent normal tissue from patient 223858 1	1														1	1						
"pool of intestinal sample from porcine duodenum, proximal and distal jejunum, ileum, ascending and transverse colon"	1														1	1						
adjacent normal tissue from patient 218499 1	1														1	1						
rhizomes (apical tip portion)	1														1	1						
cancer tissue from patient 203299 2	1														1	1						
cancer tissue from patient 203299 1	1														1	1						
cancer tissue from patient 203299 3	1														1	1						
base of stems from 15cm tall	1														1	1						
p14 sciatic nerve	1														1	1						
cancer tissue from patient 219773 1	1														1	1						
adjacent normal tissue from patient 210429 1	1														1	1						
kindney	1														1	1						
adjacent normal tissue from patient 210429 2	1														1	1						
cancer tissue from patient 224581 1	1														1	1						
adjacent normal tissue from patient 215823 1	1														1	1						
malt lymphoma ll69 t(11;18) negative tumor	1														1	1						
adjacent normal tissue from patient 222986 1	1														1	1						
cancer tissue from patient 214131 1	1														1	1						
cancer tissue from patient 202292 2	1														1	1						
cancer tissue from patient 202292 1	1														1	1						
adjacent normal tissue from patient 210644 1	1														1	1						
adjacent normal tissue from patient 210644 2	1														1	1						
cancer tissue from patient 215274 1	1														1	1						
cultured fetal retinal pigmented epithelium	1														1	1						
rna extracted from tendrils	1														1	1						
cancer tissue from patient 207515 1	1														1	1						
cancer tissue from patient 207515 2	1														1	1						
normal fetal brain	1														1	1						
adjacent normal tissue from patient 214578 1	1														1	1						
adjacent normal tissue from patient 214578 2	1														1	1						
gastric tumor tissue 990436	1														1	1						
adjacent normal tissue from patient 221840 1	1														1	1						
heads	1														1	1						
cancer tissue from patient 220699 1	1														1	1						
cancer tissue from patient 221840 1	1														1	1						
human umbilical vein endothelial cell	1														1	1						
malt lymphoma ll27 t(11;18) positive tumor	1														1	1						
cancer tissue from patient 221492 1	1														1	1						
gastric tumor tissue 20020563	1														1	1						
gastric tumor tissue 990474	1														1	1						
preaortic lymph node metastasis	1														1	1						
gastric tumor tissue 980212	1														1	1						
gastric tumor tissue 980211	1														1	1						
gastric tumor tissue 980204	1														1	1						
cancer tissue from patient 206835 2	1														1	1						
cancer tissue from patient 206835 1	1														1	1						
breast vasculature reduction	1														1	1						
cancer tissue from patient 221087 1	1														1	1						
adjacent normal tissue from patient 221145 1	1														1	1						
adjacent normal tissue from patient 224069 1	1														1	1						
malt lymphoma ll57 t(11;18) positive tumor	1														1	1						
liver dysplasia nodules adjacent	1														1	1						
liver dysplasia nodules	1														1	1						
adjacent normal tissue from patient 221334 1	1														1	1						
cancer tissue from patient 218585 1	1														1	1						
cancer tissue from patient 221145 1	1														1	1						
cancer tissue from patient 200746 3	1														1	1						
adjacent normal tissue from patient 211486 2	1														1	1						
adjacent normal tissue from patient 211486 1	1														1	1						
cancer tissue from patient 200746 2	1														1	1						
adjacent normal tissue from patient 206843 2	1														1	1						
cancer tissue from patient 200746 1	1														1	1						
adjacent normal tissue from patient 206843 1	1														1	1						
gastric tumor tissue 55761861	1														1	1						
cancer tissue from patient 221810 1	1														1	1						
cancer tissue from patient 223941 1	1														1	1						
gastric tumor tissue 980255	1														1	1						
gastric tumor tissue 990428	1														1	1						
gastric tumor tissue 990424	1														1	1						
swimming and chlorella intake muscle	1														1	1						
adjacent normal tissue from patient 210017 1	1														1	1						
adjacent normal tissue from patient 210017 2	1														1	1						
adjacent normal tissue from patient 221756 1	1														1	1						
cancer tissue from patient 204691 2	1														1	1						
flag leave at tillering stage	1														1	1						
cancer tissue from patient 207359 1	1														1	1						
cancer tissue from patient 207359 2	1														1	1						
adjacent normal tissue from patient 212197 1	1														1	1						
blood of the healthy father of ch patient 4619	1														1	1						
adjacent normal tissue from patient 201983 2	1														1	1						
adjacent normal tissue from patient 201983 1	1														1	1						
blood of the healthy father of ch patient 4607	1														1	1						
young spike	1														1	1						
peyer's patch	1														1	1						
adjacent normal tissue from patient 202192 2	1														1	1						
adjacent normal tissue from patient 202192 1	1														1	1						
adjacent normal tissue from patient 214580 1	1														1	1						
cancer tissue from patient 215824 1	1														1	1						
adjacent normal tissue from patient 224435 1	1														1	1						
scrotum metastasis	1														1	1						
gastric tumor tissue 990488	1														1	1						
helas3 cell line	1														1	1						
nontumor breast	1														1	1						
adjacent normal tissue from patient 218046 1	1														1	1						
cancer tissue from patient 204950 1	1														1	1						
cancer tissue from patient 215828 1	1														1	1						
iliac metastasis	1														1	1						
gastric tumor tissue 2000344	1														1	1						
cancer tissue from patient 204950 2	1														1	1						
cancer tissue from patient 204691 1	1														1	1						
gastric	1														1	1						
cancer tissue from patient 205477 2	1														1	1						
cancer tissue from patient 205477 1	1														1	1						
gastric tumor tissue 2000484	1														1	1						
adjacent normal tissue from patient 222617 1	1														1	1						
gastric tumor tissue 2001140	1														1	1						
cancer tissue from patient 205649 2	1														1	1						
